age,embark_town
22,Southampton
38,Cherbourg
26,Southampton
35,Southampton
35,Southampton
28,Queenstown
54,Southampton
2,Southampton
27,Southampton
14,Cherbourg
4,Southampton
58,Southampton
20,Southampton
39,Southampton
14,Southampton
55,Southampton
2,Queenstown
28,Southampton
31,Southampton
28,Cherbourg
35,Southampton
34,Southampton
15,Queenstown
28,Southampton
8,Southampton
38,Southampton
28,Cherbourg
19,Southampton
28,Queenstown
28,Southampton
40,Cherbourg
28,Cherbourg
28,Queenstown
66,Southampton
28,Cherbourg
42,Southampton
28,Cherbourg
21,Southampton
18,Southampton
14,Cherbourg
40,Southampton
27,Southampton
28,Cherbourg
3,Cherbourg
19,Queenstown
28,Southampton
28,Queenstown
28,Queenstown
28,Cherbourg
18,Southampton
7,Southampton
21,Southampton
49,Cherbourg
29,Southampton
65,Cherbourg
28,Southampton
21,Southampton
28,Cherbourg
5,Southampton
11,Southampton
22,Cherbourg
38,missing
45,Southampton
4,Southampton
28,Cherbourg
28,Cherbourg
29,Southampton
19,Southampton
17,Southampton
26,Southampton
32,Southampton
16,Southampton
21,Southampton
26,Cherbourg
32,Southampton
25,Southampton
28,Southampton
28,Southampton
0,Southampton
30,Southampton
22,Southampton
29,Southampton
28,Queenstown
28,Southampton
17,Southampton
33,Southampton
16,Southampton
28,Southampton
23,Southampton
24,Southampton
29,Southampton
20,Southampton
46,Southampton
26,Southampton
59,Southampton
28,Southampton
71,Cherbourg
23,Cherbourg
34,Southampton
34,Southampton
28,Southampton
28,Southampton
21,Southampton
33,Southampton
37,Southampton
28,Southampton
21,Southampton
28,Southampton
38,Southampton
28,Queenstown
47,Southampton
14,Cherbourg
22,Southampton
20,Southampton
17,Cherbourg
21,Southampton
70,Queenstown
29,Southampton
24,Cherbourg
2,Southampton
21,Southampton
28,Southampton
32,Cherbourg
32,Southampton
54,Southampton
12,Cherbourg
28,Queenstown
24,Southampton
28,Cherbourg
45,Southampton
33,Cherbourg
20,Southampton
47,Southampton
29,Southampton
25,Southampton
23,Cherbourg
19,Southampton
37,Southampton
16,Southampton
24,Cherbourg
28,Cherbourg
22,Southampton
24,Southampton
19,Queenstown
18,Southampton
19,Southampton
27,Southampton
9,Southampton
36,Southampton
42,Southampton
51,Southampton
22,Southampton
55,Southampton
40,Southampton
28,Southampton
51,Cherbourg
16,Queenstown
30,Southampton
28,Southampton
28,Southampton
44,Southampton
40,Southampton
26,Southampton
17,Southampton
1,Southampton
9,Southampton
28,Southampton
45,Southampton
28,Southampton
28,Southampton
61,Southampton
4,Queenstown
1,Southampton
21,Southampton
56,Cherbourg
18,Southampton
28,Southampton
50,Cherbourg
30,Southampton
36,Southampton
28,Southampton
28,Cherbourg
9,Southampton
1,Southampton
4,Southampton
28,Southampton
28,Queenstown
45,Southampton
40,Queenstown
36,Southampton
32,Southampton
19,Southampton
19,Southampton
3,Southampton
44,Cherbourg
58,Cherbourg
28,Queenstown
42,Southampton
28,Queenstown
24,Southampton
28,Southampton
28,Southampton
34,Southampton
45,Cherbourg
18,Southampton
2,Southampton
32,Southampton
26,Cherbourg
16,Queenstown
40,Cherbourg
24,Southampton
35,Southampton
22,Southampton
30,Southampton
28,Queenstown
31,Cherbourg
27,Southampton
42,Southampton
32,Cherbourg
30,Southampton
16,Southampton
27,Southampton
51,Southampton
28,Southampton
38,Southampton
22,Southampton
19,Southampton
20,Southampton
18,Southampton
28,Southampton
