fare,class
7.25,Third
71.2833,First
7.925,Third
53.1,First
8.05,Third
8.4583,Third
51.8625,First
21.075,Third
11.1333,Third
30.0708,Second
16.7,Third
26.55,First
8.05,Third
31.275,Third
7.8542,Third
16.0,Second
29.125,Third
13.0,Second
18.0,Third
7.225,Third
26.0,Second
13.0,Second
8.0292,Third
35.5,First
21.075,Third
31.3875,Third
7.225,Third
263.0,First
7.8792,Third
7.8958,Third
27.7208,First
146.5208,First
7.75,Third
10.5,Second
82.1708,First
52.0,First
7.2292,Third
8.05,Third
18.0,Third
11.2417,Third
9.475,Third
21.0,Second
7.8958,Third
41.5792,Second
7.8792,Third
8.05,Third
15.5,Third
7.75,Third
21.6792,Third
17.8,Third
39.6875,Third
7.8,Third
76.7292,First
26.0,Second
61.9792,First
35.5,First
10.5,Second
7.2292,Third
27.75,Second
46.9,Third
7.2292,Third
80.0,First
83.475,First
27.9,Third
27.7208,First
15.2458,Third
10.5,Second
8.1583,Third
7.925,Third
8.6625,Third
10.5,Second
46.9,Third
73.5,Second
14.4542,Third
56.4958,Third
7.65,Third
7.8958,Third
8.05,Third
29.0,Second
12.475,Third
9.0,Third
9.5,Third
7.7875,Third
47.1,First
10.5,Second
15.85,Third
34.375,Third
8.05,Third
263.0,First
8.05,Third
8.05,Third
7.8542,Third
61.175,First
20.575,Third
7.25,Third
8.05,Third
34.6542,First
63.3583,First
23.0,Second
26.0,Second
7.8958,Third
7.8958,Third
77.2875,First
8.6542,Third
7.925,Third
7.8958,Third
7.65,Third
7.775,Third
7.8958,Third
24.15,Third
52.0,First
14.4542,Third
8.05,Third
9.825,Third
14.4583,Third
7.925,Third
7.75,Third
21.0,Second
247.5208,First
31.275,Third
73.5,Second
8.05,Third
30.0708,Second
13.0,Second
77.2875,First
11.2417,Third
7.75,Third
7.1417,Third
22.3583,Third
6.975,Third
7.8958,Third
7.05,Third
14.5,Third
26.0,Second
13.0,Second
15.0458,Second
26.2833,First
53.1,First
9.2167,Third
79.2,First
15.2458,Third
7.75,Third
15.85,Third
6.75,Third
11.5,Second
36.75,Second
7.7958,Third
34.375,Third
26.0,Second
13.0,Second
12.525,Second
66.6,First
8.05,Third
14.5,Third
7.3125,Third
61.3792,First
7.7333,Third
8.05,Third
8.6625,Third
69.55,Third
16.1,Third
15.75,Second
7.775,Third
8.6625,Third
39.6875,Third
20.525,Third
55.0,First
27.9,Third
25.925,First
56.4958,Third
33.5,First
29.125,Third
11.1333,Third
7.925,Third
30.6958,First
7.8542,Third
25.4667,Third
28.7125,First
13.0,Second
0.0,Third
69.55,Third
15.05,Second
31.3875,Third
39.0,Second
22.025,Third
50.0,First
15.5,Third
26.55,First
15.5,Third
7.8958,Third
13.0,Second
13.0,Second
7.8542,Third
26.0,Second
27.7208,First
146.5208,First
7.75,Third
8.4042,Third
7.75,Third
13.0,Second
9.5,Third
69.55,Third
6.4958,Third
7.225,Third
8.05,Third
10.4625,Third
15.85,Third
18.7875,Third
7.75,Third
31.0,First
7.05,Third
21.0,Second
7.25,Third
13.0,Second
7.75,Third
113.275,First
7.925,Third
27.0,Second
76.2917,First
10.5,Second
8.05,Third
13.0,Second
8.05,Third
7.8958,Third
90.0,First
9.35,Third
10.5,Second
7.25,Third
13.0,Second
25.4667,Third
83.475,First
7.775,Third
13.5,Second
31.3875,Third
10.5,Second
7.55,Third
26.0,Second
26.25,Second
10.5,Second
12.275,Second
14.4542,Third
15.5,Third
10.5,Second
7.125,Third
7.225,Third
90.0,First
7.775,Third
14.5,Second
52.5542,First
26.0,Second
7.25,Third
10.4625,Third
26.55,First
16.1,Third
20.2125,Third
15.2458,Third
79.2,First
86.5,First
512.3292,First
26.0,Second
7.75,Third
31.3875,Third
79.65,First
0.0,First
7.75,Third
10.5,Second
39.6875,Third
7.775,Third
153.4625,First
135.6333,First
31.0,First
0.0,Third
19.5,Second
29.7,First
7.75,Third
77.9583,First
7.75,Third
0.0,Second
29.125,Third
20.25,Third
7.75,Third
7.8542,Third
9.5,Third
8.05,Third
26.0,First
8.6625,Third
9.5,Third
7.8958,Third
13.0,Second
7.75,Third
78.85,First
91.0792,First
12.875,Second
8.85,Third
7.8958,Third
27.7208,First
7.2292,Third
151.55,First
30.5,First
247.5208,First
7.75,Third
23.25,Third
0.0,Third
12.35,Second
8.05,Third
151.55,First
110.8833,First
108.9,First
24.0,Second
56.9292,First
83.1583,First
262.375,First
26.0,Second
7.8958,Third
26.25,Second
7.8542,Third
26.0,Second
14.0,Second
164.8667,First
134.5,First
7.25,Third
7.8958,Third
12.35,Second
29.0,Second
69.55,Third
135.6333,First
6.2375,Third
13.0,Second
20.525,Third
57.9792,First
23.25,Third
28.5,First
153.4625,First
18.0,Third
133.65,First
7.8958,Third
66.6,First
134.5,First
8.05,Third
35.5,First
26.0,Second
263.0,First
13.0,Second
13.0,Second
13.0,Second
13.0,Second
13.0,Second
16.1,Third
15.9,Third
8.6625,Third
9.225,Third
35.0,First
7.2292,Third
17.8,Third
7.225,Third
9.5,Third
55.0,First
13.0,Second
7.8792,Third
7.8792,Third
27.9,Third
27.7208,Second
14.4542,Third
7.05,Third
15.5,Third
7.25,Third
75.25,First
7.2292,Third
7.75,Third
69.3,First
55.4417,First
6.4958,Third
8.05,Third
135.6333,First
21.075,Third
82.1708,First
7.25,Third
211.5,First
4.0125,Third
7.775,Third
227.525,First
15.7417,Third
7.925,Third
52.0,First
7.8958,Third
73.5,Second
46.9,Third
13.0,Second
7.7292,Third
12.0,Second
120.0,First
7.7958,Third
7.925,Third
113.275,First
16.7,Third
7.7958,Third
7.8542,Third
26.0,Second
10.5,Second
12.65,Second
7.925,Third
8.05,Third
9.825,Third
15.85,Third
8.6625,Third
21.0,Second
7.75,Third
18.75,Second
7.775,Third
25.4667,Third
7.8958,Third
6.8583,Third
90.0,First
0.0,Second
7.925,Third
8.05,Third
32.5,Second
13.0,Second
13.0,Second
24.15,Third
7.8958,Third
7.7333,Third
7.875,Third
14.4,Third
20.2125,Third
7.25,Third
26.0,Second
26.0,Second
7.75,Third
8.05,Third
26.55,First
16.1,Third
26.0,Second
7.125,Third
55.9,First
120.0,First
34.375,Third
18.75,Second
263.0,First
10.5,Second
26.25,Second
9.5,Third
7.775,Third
13.0,Second
8.1125,Third
81.8583,First
19.5,Second
26.55,First
19.2583,Third
30.5,First
27.75,Second
19.9667,Third
27.75,First
89.1042,First
8.05,Third
7.8958,Third
26.55,First
51.8625,First
10.5,Second
7.75,Third
26.55,First
8.05,Third
38.5,First
13.0,Second
8.05,Third
7.05,Third
0.0,Second
26.55,First
7.725,Third
19.2583,Third
7.25,Third
8.6625,Third
27.75,Second
13.7917,Second
9.8375,Third
52.0,First
21.0,Second
7.0458,Third
7.5208,Third
12.2875,Third
46.9,Third
0.0,Second
8.05,Third
9.5875,Third
91.0792,First
25.4667,Third
90.0,First
29.7,First
8.05,Third
