age,class
22,Third
38,First
26,Third
35,First
35,Third
28,Third
54,First
2,Third
27,Third
14,Second
4,Third
58,First
20,Third
39,Third
14,Third
55,Second
2,Third
28,Second
31,Third
28,Third
35,Second
34,Second
15,Third
28,First
8,Third
38,Third
28,Third
19,First
28,Third
28,Third
40,First
28,First
28,Third
66,Second
28,First
42,First
28,Third
21,Third
18,Third
14,Third
40,Third
27,Second
28,Third
3,Second
19,Third
28,Third
28,Third
28,Third
28,Third
18,Third
7,Third
21,Third
49,First
29,Second
65,First
28,First
21,Second
28,Third
5,Second
11,Third
22,Third
38,First
45,First
4,Third
28,First
28,Third
29,Second
19,Third
17,Third
26,Third
32,Second
16,Third
21,Second
26,Third
32,Third
25,Third
28,Third
28,Third
0,Second
30,Third
22,Third
29,Third
28,Third
28,First
17,Second
33,Third
16,Third
28,Third
23,First
24,Third
29,Third
20,Third
46,First
26,Third
59,Third
28,Third
71,First
23,First
34,Second
34,Second
28,Third
28,Third
21,First
33,Third
37,Third
28,Third
21,Third
28,Third
38,Third
28,Third
47,First
14,Third
22,Third
20,Third
17,Third
21,Third
70,Third
29,Second
24,First
2,Third
21,Second
28,Third
32,Second
32,Second
54,First
12,Third
28,Third
24,Third
28,Third
45,Third
33,Third
20,Third
47,Third
29,Second
25,Second
23,Second
19,First
37,First
16,Third
24,First
28,Third
22,Third
24,Third
19,Third
18,Second
19,Second
27,Third
9,Third
36,Second
42,Second
51,Second
22,First
55,Third
40,Third
28,Third
51,First
16,Third
30,Third
28,Third
28,Third
44,Third
40,Second
26,Third
17,Third
1,Third
9,Third
28,First
45,Third
28,First
28,Third
61,First
4,Third
1,Third
21,Third
56,First
18,Third
28,Third
50,First
30,Second
36,Third
28,Third
28,Second
9,Third
1,Second
4,Third
28,First
28,Third
45,First
40,Third
36,Third
32,Second
19,Second
19,Third
3,Second
44,First
58,First
28,Third
42,Third
28,Third
24,Second
28,Third
28,Third
34,Third
45,Third
18,Third
2,Third
32,Third
26,Third
16,Third
40,First
24,Third
35,Second
22,Third
30,Second
28,Third
31,First
27,Third
42,Second
32,First
30,Second
16,Third
27,Second
51,Third
28,Third
38,First
22,Third
19,Second
20,Third
18,Second
28,Third
35,First
29,Third
59,Second
5,Third
24,Second
28,Third
44,Second
8,Second
19,Second
33,Second
28,Third
28,Third
29,Second
22,Third
30,Third
44,First
25,Third
24,Second
37,First
54,Second
28,Third
29,Third
62,First
30,Third
41,Third
29,Third
28,First
30,First
35,First
50,Second
28,Third
3,Third
52,First
40,First
28,Third
36,Second
16,Third
25,Third
58,First
35,First
28,First
25,Third
41,Second
37,First
28,Third
63,First
45,Third
28,Second
7,Third
35,Third
65,Third
28,Third
16,Third
19,Third
28,First
33,Third
30,Third
22,Third
42,Second
22,Third
26,First
19,First
36,Second
24,Third
24,Third
28,First
23,Third
2,First
28,First
50,First
28,Third
28,Third
19,Third
28,Second
28,Third
0,First
28,First
17,First
30,Second
30,First
24,First
18,First
26,Second
28,Third
43,Second
26,Third
24,Second
54,Second
31,First
40,First
22,Third
27,Third
30,Second
22,Second
28,Third
36,First
61,Third
36,Second
31,Third
16,First
28,Third
45,First
38,First
16,Third
28,First
28,Third
29,First
41,First
45,Third
45,First
2,Second
24,First
28,Second
