fare,embark_town
7.25,Southampton
71.2833,Cherbourg
7.925,Southampton
53.1,Southampton
8.05,Southampton
8.4583,Queenstown
51.8625,Southampton
21.075,Southampton
11.1333,Southampton
30.0708,Cherbourg
16.7,Southampton
26.55,Southampton
8.05,Southampton
31.275,Southampton
7.8542,Southampton
16.0,Southampton
29.125,Queenstown
13.0,Southampton
18.0,Southampton
7.225,Cherbourg
26.0,Southampton
13.0,Southampton
8.0292,Queenstown
35.5,Southampton
21.075,Southampton
31.3875,Southampton
7.225,Cherbourg
263.0,Southampton
7.8792,Queenstown
7.8958,Southampton
27.7208,Cherbourg
146.5208,Cherbourg
7.75,Queenstown
10.5,Southampton
82.1708,Cherbourg
52.0,Southampton
7.2292,Cherbourg
8.05,Southampton
18.0,Southampton
11.2417,Cherbourg
9.475,Southampton
21.0,Southampton
7.8958,Cherbourg
41.5792,Cherbourg
7.8792,Queenstown
8.05,Southampton
15.5,Queenstown
7.75,Queenstown
21.6792,Cherbourg
17.8,Southampton
39.6875,Southampton
7.8,Southampton
76.7292,Cherbourg
26.0,Southampton
61.9792,Cherbourg
35.5,Southampton
10.5,Southampton
7.2292,Cherbourg
27.75,Southampton
46.9,Southampton
7.2292,Cherbourg
80.0,missing
83.475,Southampton
27.9,Southampton
27.7208,Cherbourg
15.2458,Cherbourg
10.5,Southampton
8.1583,Southampton
7.925,Southampton
8.6625,Southampton
10.5,Southampton
46.9,Southampton
73.5,Southampton
14.4542,Cherbourg
56.4958,Southampton
7.65,Southampton
7.8958,Southampton
8.05,Southampton
29.0,Southampton
12.475,Southampton
9.0,Southampton
9.5,Southampton
7.7875,Queenstown
47.1,Southampton
10.5,Southampton
15.85,Southampton
34.375,Southampton
8.05,Southampton
263.0,Southampton
8.05,Southampton
8.05,Southampton
7.8542,Southampton
61.175,Southampton
20.575,Southampton
7.25,Southampton
8.05,Southampton
34.6542,Cherbourg
63.3583,Cherbourg
23.0,Southampton
26.0,Southampton
7.8958,Southampton
7.8958,Southampton
77.2875,Southampton
8.6542,Southampton
7.925,Southampton
7.8958,Southampton
7.65,Southampton
7.775,Southampton
7.8958,Southampton
24.15,Queenstown
52.0,Southampton
14.4542,Cherbourg
8.05,Southampton
9.825,Southampton
14.4583,Cherbourg
7.925,Southampton
7.75,Queenstown
21.0,Southampton
247.5208,Cherbourg
31.275,Southampton
73.5,Southampton
8.05,Southampton
30.0708,Cherbourg
13.0,Southampton
77.2875,Southampton
11.2417,Cherbourg
7.75,Queenstown
7.1417,Southampton
22.3583,Cherbourg
6.975,Southampton
7.8958,Cherbourg
7.05,Southampton
14.5,Southampton
26.0,Southampton
13.0,Southampton
15.0458,Cherbourg
26.2833,Southampton
53.1,Southampton
9.2167,Southampton
79.2,Cherbourg
15.2458,Cherbourg
7.75,Southampton
15.85,Southampton
6.75,Queenstown
11.5,Southampton
36.75,Southampton
7.7958,Southampton
34.375,Southampton
26.0,Southampton
13.0,Southampton
12.525,Southampton
66.6,Southampton
8.05,Southampton
14.5,Southampton
7.3125,Southampton
61.3792,Cherbourg
7.7333,Queenstown
8.05,Southampton
8.6625,Southampton
69.55,Southampton
16.1,Southampton
15.75,Southampton
7.775,Southampton
8.6625,Southampton
39.6875,Southampton
20.525,Southampton
55.0,Southampton
27.9,Southampton
25.925,Southampton
56.4958,Southampton
33.5,Southampton
29.125,Queenstown
11.1333,Southampton
7.925,Southampton
30.6958,Cherbourg
7.8542,Southampton
25.4667,Southampton
28.7125,Cherbourg
13.0,Southampton
0.0,Southampton
69.55,Southampton
15.05,Cherbourg
31.3875,Southampton
39.0,Southampton
22.025,Southampton
50.0,Southampton
15.5,Queenstown
26.55,Southampton
15.5,Queenstown
7.8958,Southampton
13.0,Southampton
13.0,Southampton
7.8542,Southampton
26.0,Southampton
27.7208,Cherbourg
146.5208,Cherbourg
7.75,Queenstown
8.4042,Southampton
7.75,Queenstown
13.0,Southampton
9.5,Southampton
69.55,Southampton
6.4958,Southampton
7.225,Cherbourg
8.05,Southampton
10.4625,Southampton
15.85,Southampton
18.7875,Cherbourg
7.75,Queenstown
31.0,Cherbourg
7.05,Southampton
21.0,Southampton
7.25,Southampton
13.0,Southampton
7.75,Queenstown
113.275,Cherbourg
7.925,Southampton
27.0,Southampton
76.2917,Cherbourg
10.5,Southampton
8.05,Southampton
13.0,Southampton
8.05,Southampton
7.8958,Southampton
90.0,Southampton
9.35,Southampton
10.5,Southampton
7.25,Southampton
13.0,Southampton
25.4667,Southampton
83.475,Southampton
7.775,Southampton
13.5,Southampton
31.3875,Southampton
10.5,Southampton
7.55,Southampton
26.0,Southampton
26.25,Southampton
10.5,Southampton
12.275,Southampton
14.4542,Cherbourg
15.5,Queenstown
10.5,Southampton
7.125,Southampton
7.225,Cherbourg
90.0,Queenstown
7.775,Southampton
14.5,Southampton
52.5542,Southampton
26.0,Southampton
7.25,Southampton
10.4625,Southampton
26.55,Southampton
16.1,Southampton
20.2125,Southampton
15.2458,Cherbourg
79.2,Cherbourg
86.5,Southampton
512.3292,Cherbourg
26.0,Southampton
7.75,Queenstown
31.3875,Southampton
79.65,Southampton
0.0,Southampton
7.75,Queenstown
10.5,Southampton
39.6875,Southampton
7.775,Southampton
153.4625,Southampton
135.6333,Southampton
31.0,Southampton
0.0,Southampton
19.5,Southampton
29.7,Cherbourg
7.75,Queenstown
77.9583,Southampton
7.75,Southampton
0.0,Southampton
29.125,Queenstown
20.25,Southampton
7.75,Queenstown
7.8542,Southampton
9.5,Southampton
8.05,Southampton
26.0,Southampton
8.6625,Cherbourg
9.5,Southampton
7.8958,Southampton
13.0,Southampton
7.75,Queenstown
78.85,Southampton
91.0792,Cherbourg
12.875,Cherbourg
8.85,Southampton
7.8958,Southampton
27.7208,Cherbourg
7.2292,Cherbourg
151.55,Southampton
30.5,Southampton
247.5208,Cherbourg
7.75,Queenstown
23.25,Queenstown
0.0,Southampton
12.35,Queenstown
8.05,Southampton
151.55,Southampton
110.8833,Cherbourg
108.9,Cherbourg
24.0,Cherbourg
56.9292,Cherbourg
83.1583,Cherbourg
262.375,Cherbourg
26.0,Southampton
7.8958,Southampton
26.25,Southampton
7.8542,Southampton
26.0,Southampton
14.0,Southampton
164.8667,Southampton
134.5,Cherbourg
7.25,Southampton
7.8958,Southampton
12.35,Queenstown
29.0,Southampton
69.55,Southampton
135.6333,Cherbourg
6.2375,Southampton
13.0,Southampton
20.525,Southampton
57.9792,Cherbourg
23.25,Queenstown
28.5,Southampton
153.4625,Southampton
18.0,Southampton
133.65,Southampton
7.8958,Southampton
66.6,Southampton
134.5,Cherbourg
8.05,Southampton
35.5,Southampton
26.0,Southampton
263.0,Southampton
13.0,Southampton
13.0,Southampton
13.0,Southampton
13.0,Southampton
13.0,Southampton
16.1,Southampton
15.9,Southampton
8.6625,Southampton
9.225,Southampton
35.0,Southampton
7.2292,Cherbourg
17.8,Southampton
7.225,Cherbourg
9.5,Southampton
55.0,Southampton
13.0,Southampton
7.8792,Queenstown
7.8792,Queenstown
27.9,Southampton
27.7208,Cherbourg
14.4542,Cherbourg
7.05,Southampton
15.5,Queenstown
7.25,Southampton
75.25,Cherbourg
7.2292,Cherbourg
7.75,Queenstown
69.3,Cherbourg
55.4417,Cherbourg
6.4958,Southampton
8.05,Southampton
135.6333,Cherbourg
21.075,Southampton
82.1708,Cherbourg
7.25,Southampton
211.5,Cherbourg
4.0125,Cherbourg
7.775,Southampton
227.525,Cherbourg
15.7417,Cherbourg
7.925,Southampton
52.0,Southampton
7.8958,Southampton
73.5,Southampton
46.9,Southampton
13.0,Southampton
7.7292,Queenstown
12.0,Cherbourg
120.0,Southampton
7.7958,Southampton
7.925,Southampton
113.275,Cherbourg
16.7,Southampton
7.7958,Southampton
