sex,fare
male,7.25
female,71.2833
female,7.925
female,53.1
male,8.05
male,8.4583
male,51.8625
male,21.075
female,11.1333
female,30.0708
female,16.7
female,26.55
male,8.05
male,31.275
female,7.8542
female,16.0
male,29.125
male,13.0
female,18.0
female,7.225
male,26.0
male,13.0
female,8.0292
male,35.5
female,21.075
female,31.3875
male,7.225
male,263.0
female,7.8792
male,7.8958
male,27.7208
female,146.5208
female,7.75
male,10.5
male,82.1708
male,52.0
male,7.2292
male,8.05
female,18.0
female,11.2417
female,9.475
female,21.0
male,7.8958
female,41.5792
female,7.8792
male,8.05
male,15.5
female,7.75
male,21.6792
female,17.8
male,39.6875
male,7.8
female,76.7292
female,26.0
male,61.9792
male,35.5
female,10.5
male,7.2292
female,27.75
male,46.9
male,7.2292
female,80.0
male,83.475
male,27.9
male,27.7208
male,15.2458
female,10.5
male,8.1583
female,7.925
male,8.6625
male,10.5
female,46.9
male,73.5
male,14.4542
male,56.4958
male,7.65
male,7.8958
male,8.05
male,29.0
female,12.475
male,9.0
male,9.5
female,7.7875
male,47.1
female,10.5
female,15.85
male,34.375
male,8.05
female,263.0
male,8.05
male,8.05
male,7.8542
male,61.175
male,20.575
male,7.25
male,8.05
male,34.6542
male,63.3583
female,23.0
male,26.0
female,7.8958
male,7.8958
male,77.2875
male,8.6542
male,7.925
male,7.8958
female,7.65
male,7.775
male,7.8958
female,24.15
male,52.0
female,14.4542
male,8.05
female,9.825
female,14.4583
male,7.925
male,7.75
male,21.0
male,247.5208
female,31.275
male,73.5
male,8.05
male,30.0708
female,13.0
male,77.2875
male,11.2417
male,7.75
male,7.1417
female,22.3583
male,6.975
male,7.8958
male,7.05
female,14.5
female,26.0
male,13.0
male,15.0458
female,26.2833
male,53.1
male,9.2167
male,79.2
female,15.2458
female,7.75
female,15.85
male,6.75
male,11.5
male,36.75
male,7.7958
female,34.375
male,26.0
male,13.0
male,12.525
female,66.6
male,8.05
male,14.5
male,7.3125
male,61.3792
female,7.7333
male,8.05
male,8.6625
male,69.55
male,16.1
female,15.75
male,7.775
male,8.6625
male,39.6875
male,20.525
female,55.0
female,27.9
male,25.925
male,56.4958
male,33.5
male,29.125
female,11.1333
male,7.925
male,30.6958
male,7.8542
male,25.4667
female,28.7125
male,13.0
male,0.0
female,69.55
male,15.05
male,31.3875
male,39.0
female,22.025
male,50.0
female,15.5
male,26.55
male,15.5
male,7.8958
female,13.0
male,13.0
female,7.8542
male,26.0
female,27.7208
female,146.5208
male,7.75
male,8.4042
female,7.75
female,13.0
male,9.5
male,69.55
male,6.4958
male,7.225
male,8.05
female,10.4625
male,15.85
male,18.7875
female,7.75
male,31.0
male,7.05
female,21.0
male,7.25
male,13.0
male,7.75
female,113.275
female,7.925
male,27.0
female,76.2917
male,10.5
male,8.05
male,13.0
male,8.05
male,7.8958
male,90.0
male,9.35
male,10.5
male,7.25
male,13.0
female,25.4667
female,83.475
male,7.775
male,13.5
female,31.3875
male,10.5
female,7.55
male,26.0
female,26.25
male,10.5
male,12.275
female,14.4542
female,15.5
male,10.5
male,7.125
male,7.225
male,90.0
female,7.775
female,14.5
male,52.5542
male,26.0
male,7.25
female,10.4625
male,26.55
male,16.1
female,20.2125
female,15.2458
female,79.2
female,86.5
female,512.3292
female,26.0
male,7.75
male,31.3875
male,79.65
male,0.0
female,7.75
male,10.5
male,39.6875
male,7.775
female,153.4625
female,135.6333
male,31.0
male,0.0
female,19.5
male,29.7
female,7.75
female,77.9583
female,7.75
male,0.0
male,29.125
female,20.25
male,7.75
male,7.8542
male,9.5
male,8.05
male,26.0
male,8.6625
male,9.5
male,7.8958
male,13.0
female,7.75
female,78.85
female,91.0792
male,12.875
female,8.85
male,7.8958
male,27.7208
male,7.2292
female,151.55
male,30.5
female,247.5208
female,7.75
male,23.25
male,0.0
female,12.35
male,8.05
male,151.55
female,110.8833
female,108.9
male,24.0
female,56.9292
female,83.1583
female,262.375
female,26.0
male,7.8958
male,26.25
female,7.8542
female,26.0
male,14.0
female,164.8667
female,134.5
male,7.25
male,7.8958
female,12.35
female,29.0
